id,creatorId,world/0,name,description,notes,image/0,recommendedAttributes/0,recommendedAttributes/1,recommendedAttributes/2,recommendedStats/0,recommendedStats/1,requirements/0,requirements/1,requirements/2,ranks/0/type,ranks/0/id/0,ranks/1/type,ranks/1/id/0,ranks/1/id/1,ranks/2/type,ranks/2/id/0,ranks/3/type,ranks/3/id/0,ranks/4/type,ranks/4/id/0,ranks/4/id/1,ranks/5/type,ranks/5/id/0,ranks/6/type,ranks/6/id/0,ranks/7/type,ranks/7/id/0,ranks/7/id/1,ranks/8/type,ranks/8/id/0,ranks/0/id/1,ranks/2/id/1,ranks/6/id/1,ranks/8/id/1,ranks/3/id/1,ranks/0/id/2,ranks/3/id/2,ranks/6/id/2,,
1,1,1,Alchemist,"Using alteration, crafting, and alchemy to  create and prepare explosives, grenades, and more. Change iron to steel, copper to gold.",,,Int,Acc,Dex,MP,Spd,Successfully disassemble a grenade and learn the base elements used to make it.,Successfully cast 3 spells with the aide of your Alchemical Formulae during combat.,Modify grenades with your alchemical spells to create 3 new and unique grenade types,power,86,spells,4,5,stunt,66,power,87,spells,10,11,power,88,power,89,spells,18,19,power,90,,,,,,,,,,
2,1,1,Assassin,"Focuses on stealth, silence, and one-shot kills.",,,Dex,Acc,Per,Spd,HP,Successfully perform 3 sneak attacks,Assassinate and kill a target with a sneak attack on 3 separate occasions.,Assassinate and kill a public or famous figure without being caught.,power,91,stunt,68,,action,26,power,92,power,93,,power,94,power,95,power,96,,power,97,,,,,,,,,,
3,1,1,Barbarian,"Less is more, they seek victory by brute strength alone. No trickery here.",,,Str,End,Acc,HP,Spd,"Avoid the use of any advanced tech, computerized tech, or any technology that runs off of energy cells and do not cast spells.",Avoid the use of any technology or tool that is intricate in design or would confuse a barbarian. & Must be able to charge attack.,"Smash a confusing technological device worth at least 100,000 Credits.",power,98,stunt,69,,action,27,power,99,power,100,,power,101,power,102,stunt,70,,power,103,,,,,,,,,,
4,1,1,Bard,Influencing others is the way to play. Use story and song to save the day.,,,Cha,Dex,Hrt,Spd,HP,"Know how to play an instrument, and successfully make a Cha (Performance) test to please a small crowd of 5 people.",Successfully make a Cha (Performance) test to please a crowd of 50 or more people.,Successfully make a Cha (Performance) test to please a crowd of 500 or more people. At least one public figure or famous person must be in attendance.,action,28,action,29,,action,30,action,31,action,32,,power,104,power,105,power,106,,action,33,,,,,,,,,,
5,1,1,Beastmaster,Let your animal friends do all the dirty work. Gotta catch em all! ,,,Hrt,Wis,Dex,MP,HP,Successfully have tamed at least one creature (see Animal Taming talent),Currently are travelling with at least 2 tamed creatures. (see Animal Taming talent),Successfully have tamed a Dire Threat creature.,spells,24,stunt,71,,power,107,spells,31,power,108,,power,109,spells,38,power,110,,power,111,,,,,,,,,,
6,1,1,Berserker,"Rage fuels these mighty warriors, they can ignore pain, and they fight to the end past what would kill a normal warrior.",,,Str,Hrt,End,HP,Spd,Attack and kill a creature that enraged you.,"Survive a battle in which you were outnumbered, frenzied, and with less than 1/4 of your max HP remaining",Survive a combat encounter vs at least 5 opponents in which you were frenzied and dealt the finishing blow to all of the enemies.,action,34,stunt,72,,action,35,power,112,power,113,,power,114,power,115,power,116,,power,117,,,,,,,,,,
7,1,1,Blood Mage,Bloodmages have found a way to cast their spells without relying on MP. By using blood they gain power and manipulate arcana.,,,Int,Wis,Cha,HP,Spd,"Drain the blood of a person, and use it to fuel your spells.",Fully submerge yourself in blood while resting for 8 hours and awaken Well Rested,In a single encounter cast Blood Mage spells with the sum of their MP costs totaling 100 or more.,spells,51,power,118,,spells,67,power,119,spells,15,117,action,36,spells,156,power,120,,spells,43,162,190,180,135,,,,,,
8,1,1,Blooded,"The blooded absorb power from the flesh & blood of those they have slain. They are often associated with serial killers and cannibals, however some choose to only eat the flesh of animals and creatures.",,,End,Dex,Hrt,HP,Spd,Consume the raw flesh and blood of a creature you have slain.,Consume the flesh of at least 5 people OR completely consume a creature of Major threat or higher,Consume the flesh of at least 50 people OR completely consume a creature of Dire threat or higher,action,37,power,121,,power,122,power,123,power,124,,power,125,power,126,power,127,,power,128,,,,,,,,,,
9,1,1,Champion,"Rallying their allies on the battlefield, the champion gives even the worst outcomes hope.",,,End,Hrt,Dex,HP,Spd,Inspire a disheartened character to have hope. ,Rally and protect an ally that has entered a dying state. Do not let them die.,Successfully champion your team to victory after at least 3 teammates fall into a dying state.,action,38,stunt,73,,power,129,power,130,power,131,,power,132,power,133,power,134,,power,135,,,,,,,,,,
10,1,1,Cleric,"The worlds greatest healers, able to mend bones, cure disease, and even prevent death.",,,Int,End,Hrt,MP,HP,"Heal a non party member who is injured, sick, or in pain.",Help others recover a total of 150 recovered HP.,Save 5 total people who were on the brink of death with your healing.,spells,173,stunt,74,,power,136,spells,177,power,137,,power,138,spells,183,power,139,,power,140,174,,184,,178,,,,,
11,1,1,Commander,The true leader on the battlefield. Commanding their armies and allies from the frontlines. The commander will bring their people victory.,,,Cha,End,Wis,HP,Spd,Lead an NPC to victory in battle.,Lead a group of at least 2 NPCs who have sworn themselves to you through 3 total combat encounters.,Lead and win a battle in which you and your followers were outnumbered and outclassed with 0 casualties.,power,141,stunt,75,,action,39,power,142,power,143,,power,144,power,145,power,146,,power,147,,,,,,,,,,
12,1,1,Death Knight,"A lone knight falls amongst his slain comrades. As they lay dying, the knight's hatred and regret grows to the point where they will evade death until they have taken their revenge.",,,End,Str,Acc,HP,Spd,Have a near death experience. Be willing to do anything to avoid death.,Fall below 0 HP a total of 3 times.,Be reduced to nothing more than a skeleton as a Death Knight.,power,148,power,149,,power,150,power,151,action,40,,power,152,power,153,power,154,,power,155,,,,,,,,,,
13,1,1,Delver,Explorer of the vast lands and ruins of the world. Careful not to delve into a dungeon deeper than you can climb out!,,,Per,Dex,Int,Spd,HP,Successfully enter and fully explore a hostile base/dungeon/cave etc.,Use your exploration drone to detect 3 traps or detection systems without triggering them.,Use your exploration drone to scan enemies on 5 unique occasions.,power,156,stunt,76,,power,157,stunt,77,power,158,,power,159,power,160,power,161,,power,162,,,,,,,,,,
14,1,1,Druid,"Friend to nature, you would rather be around plants and spend time in your garden than among people. Manipulate plants to attack your foes and cast powerful support spells using them.",,,Wis,Hrt,Per,MP,HP,Spend at least 1 hour per day surrounded by nature.,You must now always sleep surrounded by nature.,"You cannot be separated from nature for more than 8 hours, or you will lose your Druidic powers until your rest among nature again.",spells,25,power,163,,power,164,spells,32,power,165,,power,166,spells,39,power,167,,power,168,26,,40,,33,,,,,
15,1,1,Drunken Master,"Your body has adapted to alcohol, and now gains power and strength from drinking.",,,Dex,End,Acc,Spd,HP,Become wasted on 5 separate occasions.,Survive after entering the Dying state on the Sobriety table.,Spend 1 week straight while intoxicated.,power,169,stunt,78,,power,170,power,171,power,172,,power,173,power,174,power,175,,power,176,,,,,,,,,,
16,1,1,Duelist,"You have two hands, why not use two weapons? Seriously what a waste.",,,Acc,Str,Dex,HP,Spd,Successfully make at least 3 melee attacks with 2 different weapons during a single combat encounter.,Successfully make at least 7 melee attacks with 2 different weapons during a single combat encounter.,Successfully make at least 12 melee attacks with 2 different weapons during a single combat encounter.,action,41,stunt,79,,power,177,power,178,action,42,,power,179,power,180,power,181,,action,43,,,,,,,,,,
17,1,1,Elemancer,"Only the Avatar, master of all the elements, could stop them, but when the world needed them most, they vanished. (go deep with one or shallow with many)",,,Int,Dex,Hrt,MP,HP,Learn the novice level spells for a single element.,Learn all of the spells for a single element.,Learn all of the spells for two or more elements.,spell choice,elemancy,stunt,80,,spell choice,elemancy,power,182,spell choice,elemancy,,power,183,spell choice,elemancy,power,184,,power,185,,,,,,,,,,
18,1,1,Engineer,"You make it your goal to design, build, and modify weapons and armor to suit your needs. Plasma sword anyone? Mech suit? ",,,Dex,Int,Per,Spd,MP,Successfully make modifications on 3 tools or weapons to improve them.,Construct a BPE and install either a PAC or PJC,"Fully kit out a BPE made from either Black Steel, Orichalcum, or Tritanium with a powered weapon and visual modifier",power,186,stunt,81,,power,187,stunt,82,power,188,,power,189,power,190,power,191,,power,192,,,,,,,,,,
19,1,1,Gambler of Fate,"All or nothing, you guide the strings of fate and weave them to create the pattern you desire. This power could easily slip through your fingers though if your luck runs out.",,,Wis,Cha,Dex,Spd,MP,Roll triples and succeed a test roll.,Roll a legendary [6][6][6] or a Crit Fail [1][1][1],Have the GM roll you a legendary [6] [6] [6] with the use of the spell Role Reversal.,spells,139,stunt,83,,power,193,spells,145,power,194,,power,195,spells,151,power,196,,power,197,140,,152,,146,,,,,
20,1,1,Gladiator,You are at your strongest when the crowds are cheering you on. You thrive in the one on one battle arena. You are the gladiator.,,,End,Str,Dex,HP,Spd,Survive a 1-on-1 battle in front of a crowd of at least 5 people.,Survive a battle where you are outnumbered 2-to-1 before crowd of at least 50 people.,Fight and win in a 1-on-1 battle before a crowd of at least 500 people,power,198,stunt,84,,action,44,power,199,power,200,,power,201,power,202,power,203,,power,204,,,,,,,,,,
21,1,1,Guardian,"Protect and serve. You live to guard those whom you have given your life to. Your live your life as a shield, so you better not go down, they are relying on you.",,,End,Str,Hrt,HP,Spd,Take a hit meant for someone else to protect them.,Block 5 or more attacks in one round.,Tank 100 total damage in a single encounter,power,205,stunt,85,,action,45,power,206,power,207,,power,208,power,209,power,210,,power,211,,,,,,,,,,
22,1,1,Gunfighter,Guns blazing is an excellent motto. Especially the guns part. Lots of them. ,,,Acc,Dex,Per,Spd,HP,Land 3 shots in a row in a single combat encounter with a pistol. ,Slay 2 creatures in a single round with shots from your firearms.,Land 9 shots against a single target with your firearms in one combat encounter.,action,46,stunt,86,,power,212,power,213,power,214,,power,215,power,216,action,47,,power,217,,,,,,,,,,
23,1,1,Hunter,"Once you have set your mind to finding your target, they will never escape you. They can run, but they can't hide.",,,Per,Dex,Acc,Spd,HP,Successfully track a creature. ,Successfully hunt a moderate level threat and defeat it without initiating combat.,Successfully hunt a major level threat and defeat it without initiating combat.,action,48,stunt,87,,power,218,power,219,power,220,,power,221,power,222,power,223,,power,224,,,,,,,,,,
24,1,1,Juggler,"Specialized in throwing all sorts of weapons or tools. Throw a dagger at an enemy, toss an ally a potion, or juggle flaming swords to impress a crowd.",,,Acc,Dex,Per,Spd,HP,Successfully throw an item in combat and hit your mark 3 times.,Catch an item thrown at you by an enemy in combat and throw it back.,Hit a single target with 3 thrown objects in one turn twice in a row. (on 2 subsequent turns for 6 total hits for a single target),power,225,stunt,88,,power,226,power,227,power,228,,power,229,power,230,power,231,,power,232,,,,,,,,,,
25,1,1,Knight,Valiant and honorable. The knight is the epitome of what a warrior should strive to become. Don't forget to save the damsel in distress.,,,Str,Hrt,End,HP,Spd,Help someone in need and choose to take nothing in return.,You can no longer accept compensation after helping someone,You can no longer turn down any sincere requests for help.,power,233,stunt,89,,power,234,power,235,power,236,,power,237,power,238,power,239,,power,240,,,,,,,,,,
26,1,1,Mage Hunter,"You specialize in hunting down and eliminating users of magic. Resist and deflect magic with your shield, and cut through their defenses with your sword.",,,Hrt,Str,Wis,HP,Spd,Kill a person or creature who uses magic. (you cannot use magic yourself),Negate an enemy spell  during combat 3 times.,Single handedly defeat 3 magic users in a single combat encounter.,power,241,stunt,90,,power,242,power,243,power,244,,power,245,power,246,power,247,,power,248,,,,,,,,,,
27,1,1,Martial Artist,"Mastery of weapons, fast as the wind. Silent and deadly. You prefer subs over dubs.",,,Dex,Acc,Per,Spd,HP,The martial artist is proficient in all manner of weapons. Land a hit with one weapon from each weapon category.,Successfully land an attack with 3 different weapons in a single combat encounter.,Land and activate Paralyzing Blow against the same target two rounds in a row.,power,249,stunt,91,,action,49,power,250,power,251,,action,50,action,51,power,252,,power,253,,,,,,,,,,
28,1,1,Medic,"Deftly provides support while out in the field, dodging all attacks to bring aide and healing to their wounded teammates.",,,Int,End,Acc,Spd,HP,Must have attained Rank 1 in the Medicine Talent,Save a dying ally with the urgent care stunt,Use First Aid to help others recover 50 or more HP in a single encounter.,power,254,stunt,92,,power,255,power,256,action,52,,power,257,power,258,power,259,,power,260,,,,,,,,,,
29,1,1,Mentalist,"Manipulate the weak minded, confound the foolish, and become the center of attention. Their minds are like putty in your hands.",,,Wis,Cha,Dex,Spd,MP,Learn the spells: Psychic Shield and Psychic Contact,"Finish a combat encounter that lasts at least 3 rounds, without being targeted by attacks.",Manipulate a foe into becoming an ally.,spells,161,stunt,93,,power,261,spells,165,power,262,,power,263,spells,168,power,264,,action,53,,,,,,,,,,
30,1,1,Monk,Meditation is the key to enlightenment. Channel your inner energy into your fists and bring balance to the world.,,,Hrt,Acc,Str,HP,Spd,Must have attained Rank 1 in the Zen Talent,"A Monk must endure intense mental, spiritual and physical training. Fast for 9 days straight. You will be in an Exhausted Fatigue state during this time.",A true monk knows that rage and anger must be kept at bay. Master your emotions. If you lose control of your emotions you will be unable to use your monk powers.,power,265,stunt,94,,action,54,power,266,power,267,,power,268,power,269,power,270,,power,271,,,,,,,,,,
31,1,1,Necromancer,The Necromancer is a master over death itself. They study the deep and forbidden secrets long since forbidden by the Constellations. ,,,Int,End,Hrt,MP,HP,Dissect and study a living creature while healing it to keep it alive. You must also know at least 1 Conjuration spell. ,Summon and command 10 undead to defeat an enemy.,Grant your Heroic Undead Commander a name and an undead legion. Provide it the opportunity to prove its loyalty to you.,spells,48,power,272,,power,273,spells,55,power,274,,power,275,spells,61,stunt,95,,power,276,49,,62,,56,50,57,63,,
32,1,1,Noble,I'm very important. I have many leather-bound books and my apartment smells of rich mahogany.,,,Cha,Per,Hrt,HP,Spd,"The divine right of those born into nobility, or granted it from another noble.",Become the ruler of a town or small city,Become a ruler of  a major city or small nation.,power,277,stunt,96,,power,278,power,279,power,280,,power,281,power,282,power,283,,power,284,,,,,,,,,,
33,1,1,Orator,"You are master of words and sound. Sticks and stones may break your bones, but an Orator's words WILL kill you.",,,Int,Per,Dex,HP,Spd,Must only be able to cast spells with verbal commands.,Learn how to cast Ward and Force Field. Cast both around yourself simultaneously to protect yourself while defeating an enemy with your voice.,Defeat 5 total enemies on your own with your voice without them seeing you.,spells,111,stunt,97,,power,285,spells,115,power,286,,power,287,spells,120,power,288,,power,289,112,,121,,116,,,,,
34,1,1,Outrider,Your steed will carry you to the ends of the earth. Faster and faster you ride. Able to wield weapons with ease while mounted,,,Hrt,Dex,Str,HP,Spd,Tame or purchase a mountable creature,Obtain a tamed and mountable creature of a Moderate level threat or higher.,Obtain a tamed and mountable creature of a Major level threat or higher.,power,290,stunt,98,,power,291,power,292,power,293,,power,294,power,295,power,296,,power,297,,,,,,,,,,
35,1,1,Pacifist,You have a strong aversion to violence and prefer to use your words and actions to diffuse  combat scenarios. All NPC adversaries have the potential to be convinced to halt combat and reach a peaceful resolution. ,,,Cha,Hrt,End,Spd,HP,Be attacked by an enemy and refuse to fight back.,Successfully initiate peace talks and completely convince an NPC to choose a peaceful outcome.,You cannot engage in combat until you have attempted peace talks with every opponent at least twice.,action,55,stunt,99,,power,298,power,299,power,300,,power,301,power,302,power,303,,power,304,,,,,,,,,,
36,1,1,Paladin: Anti,"You serve no God, in fact you believe the Constellations are the primary cause of most pain and suffering in the world. Your zeal against the Constellations counteracts the powers of those who do believe in them.",,,Hrt,Cha,Wis,HP,Spd,Commit your life to Anti-Theism and follow it's tenets unwaveringly.,Fervently dedicate yourself to spreading the truth of the Constellations. You must not allow them to brainwash the people any longer.,Physically meet with one of the Constellations and defy them to their face and survive.,power,553,power,557,,power,554,power,558,power,555,,power,559,power,556,power,560,,stunt,101,,,,,,,,,,
37,1,1,Pirate,"Yaharrg matey, a pirates life be about sailing the seas (or lands or skies) in search of Treasure. Damned be the fools who get in your way!",,,Dex,Per,Acc,HP,Spd,Successfully attack and commandeer any vessel/vehicle.,"Plunder and steal from a vessel to gain 2,000 Credits worth of goods.",Own and captain a large vessel with a crew of at least 15.,action,56,stunt,102,,power,313,power,314,power,315,,power,316,power,317,power,318,,action,81,,,,,,,,,,
38,1,1,Planes Walker,"Space-Time is no obstacle to you. Your pocket dimensions grant you incredible versatility, and your mobility is unmatched among mortals. This power comes from your otherworldly tattoos.",,,Wis,Int,Per,MP,HP,Get tattooed with an astral mark representing the Planes Walker,"Cast warp self 25 total times. If you can warp, you should warp.","Have at least 100 different creatures move through one of your Gates, and open a Gate to 10 unique locations.",spells,141,stunt,103,,power,319,spells,147,power,320,,power,321,spells,153,power,322,,power,323,142,,154,,148,,,,,
39,1,1,Potions Master,"A Master at creating and administering potions of all kinds from deadly toxins, venoms, and poisons as well as restorative, supportive, and strength potions.",,,Int,Per,Dex,Spd,HP,"Learn a recipe for, and brew, a basic level potion: (examples) Pain killer, hangover cure, warming potion, cooling potion, allergic itching poison. ",Brew a total of 15 potions. (5 must be unique),Successfully experiment with potions ingredients and formulate 3 unique new potions unknown to the general public.,power,324,stunt,104,,power,325,power,326,power,327,,power,328,power,329,power,330,,power,331,,,,,,,,,,
40,1,1,Rampager,"Born of grief and loss, you gave into the darkness of your Berserker rage. Blinded to everything but massacre and destruction you rampage across the battlefield cleaving friend and foe alike.",,,Str,Acc,End,HP,Spd,As a Berserker suffer a great loss while enraged. Give into your rage and hate. Spare no one. Lose all Berserker levels and gain them as a Rampager. ,Slay 10 creatures while in a rampaging state.,"Enter a combat encounter while rampaging with at least 10 total creatures, and slay all of them.",action,57,power,332,,power,333,power,334,power,335,,power,336,power,337,power,338,,power,339,,,,,,,,,,
41,1,1,Razor,Your power is proportional to your lifeforce. Your blood makes your weapons and abilities stronger. The weaker you become the stronger you are.,,,Dex,Per,Str,Spd,Spd,Fall into a dying state and survive.,Slay 3 enemies while at 10 HP or less. (This does not need to occur in the same encounter),Become addicted to being at low HP. Your body resists healing. You recover 1/2 the normal amount of HP from healing effects.,power,340,stunt,105,,power,341,power,342,power,343,,power,344,power,345,power,346,,power,347,,,,,,,,,,
42,1,1,Samurai,"Warriors of old, wielding techniques perfected and passed down through countless generations. There is very little, if anything, they hold more value in than their honor.",,,Dex,Str,Acc,HP,Spd,"Commit to following Bushido, the code of honor. 

Samurai wield katana, tanto, and bows. The katana is always used 2-handed",Choose a Lord to dedicate your blade to. OR Become a Ronin and dedicate your blade to serving those in need of your service.,"If you ever break your Code of Bushido, you must prepare yourself to take your own life by committing Seppuku",power,348,stunt,106,,power,349,power,350,power,351,,power,352,power,353,power,354,,action,59,,,,,,,,,,
43,1,1,Seer,"Visions and insight have always come to you in dreams or awake. Some of them come to pass exactly the way you have seen them, others you try to keep coming to pass.",,,Wis or Per,Int,Hrt,MP,Spd,Accurately predict an event that eventually comes to pass within the next few hours. (max one guess per day),Accurately predict a monumental event that eventually comes to pass within the next few days. (max one guess per week),Accurately predict a word changing event that eventually comes to pass within the next few weeks. (max one guess per month),spells,188,stunt,107,,power,355,spells,193,power,356,,power,357,spells,198,power,358,,power,359,189,,199,,194,,,,,
44,1,1,Shade,"You merely adopted the dark; I was born in it, molded by it. I didn't see the light until I was already a man, by then it was nothing to me but BLINDING!",,,Dex,Acc,Wis,Spd,MP,Slay a person in the darkness as they are sleeping. ,Spend 72 hours in complete darkness. If you experience any light during this time you must restart.,While in the light of day your Attributes are all decreased by 1. Clothing does not protect against this.,power,360,stunt,108,,spells,129,power,361,power,362,,spells,132,power,363,power,364,,power,365,,,,,,,,,,
45,1,1,Shaman,Your spores can only infect biological organisms. You are seriously one fun guy!,,,Wis,End,Int,MP,HP,"Survive after eating a poisonous mushroom, or after being infected by a fungal disease.",Allow the fungus you cultivate to spread over your entire body. Giving your skin a sickly look and smell.,Become the host for a small colony of at least 1000 insects,action,60,spells,27,28,power,366,power,367,spells,34,35,power,368,power,369,spells,41,42,power,370,,,,,,,,,,
46,1,1,Shapeshifter,Why should animals and monsters get all the fun. Sometimes it would be nice to have the sense of smell of a dog. Sometimes you just want to grow a giant crab claw. Why not both?,,,Int,Hrt,Per,MP,Spd,Become intimately familiar with a feature of a particular animal or monster through intensive study.,Cast Partial Transformation with 3 different unique creatures. ,Obtain the ability to shapeshift into a Dire Level threat or higher. ,spells,6,stunt,109,,power,371,spells,12,power,372,,power,373,spells,20,action,61,,power,374,,,,,13,,,,,
47,1,1,Sniper,"It is much safer, and more effective, to shoot someone from hundreds of meters away than getting up close and personal. ",,,Acc,Per,Str,Spd,HP,Successfully land a targeted shot from 50 meters,Land a headshot from 100 m.,Slay a major level threat or higher from full health with a single shot from at least 100 m.,action,62,stunt,110,,power,375,power,376,stunt,111,,power,377,power,378,power,379,,power,380,,,,,,,,,,
48,1,1,Slayer,"Your vengeance will not be quenched until your nemesis have been slain. You are specialized to kill them, and you're damn good at it.",,,Str,Acc,Hrt,HP,Spd,You have experienced great loss due to a species of creature.,"You must spend at least 1 hour/day dedicated to vengeance. Either practicing slaying your target, studying your target, theorizing, etc.",Obtained vengeance by slaying 10 unique creatures/people related to your slayer specialization.,power,381,stunt,112,,power,382,power,383,power,384,,power,385,power,386,power,387,,power,388,,,,,,,,,,
49,1,1,Sorcerer,"A powerful and efficient magic-user who doesn't care to learn multitudes of spells, and instead relies on their innate magical power to hurl pure energy at their foes.",,,Wis,Acc,Hrt,MP,HP,Use a single offensive spell at least 5 times.,Fire your Arcane Bolt and hit an enemy 10 total times.,Deal 100 total arcane damage in a single combat encounter.,action,66,stunt,119,,action,67,power,389,power,390,,action,79,power,391,power,392,,action,80,,,,,,,,,,
50,1,1,Spellsword,Magic.. Swords€¦ You use magic swords and use magic on your swords. You could even use swords on your magic if you wanted. Your weapon of choice doesn't have to be a sword€¦ but it just wouldn't sound as cool.,,,Int,Wis,Str,MP,HP,Somehow discover a way to imbue your weapon with an energy beyond your own.,Empower your weapon with both Elemental Weapon and Imbue Weapon. Then discover a way to further empower that weapon with a new power simultaneously.,Commit to only ever using your designated Spellsword weapon as a means of attacking and dealing damage.,spells,7,stunt,113,,power,393,spells,130,power,394,,power,395,spells,122,power,396,,power,397,45,,155,,179,65,195,169,,
51,1,1,Thief,"Sneaking and stealing, breaking and entering, disarming traps, picking locks and pockets. Oh. And getting hella rich too.",,,Dex,Per,Cha,Spd,HP,Successfully steal and fence 200 Credits worth of goods.,"Successfully steal and fence 5,000 Credits worth of goods.","Successfully steal and fence 20,000 Credits worth of goods.",power,398,stunt,114,,power,399,power,400,action,64,,action,63,spells,14,power,401,,power,402,,,,,,,,,,
52,1,1,Trickster,"Master of sleight of hand and real Illusion. Make the people see what you want them to see, and believe what you want them to believe.",,,Cha,Wis,Dex,Spd,HP,Deceive someone into making a major decision that benefits you.,Deceive an organization/group/room of people/ or guild into making a major decision that benefits you.,Deceive an entire city or nation into making a major decision that benefits you.,power,403,spells,126,,stunt,115,power,404,spells,131,,power,405,power,406,spells,134,,power,407,,,,,,,,,,
53,1,1,Warlock,"Make a connection to an ancestor. Speak with them, borrow their weapons, tools, and armor. Summon them and their powers to this world.",,,Int,Hrt,Cha,MP,HP,Visit a place of power dedicated to an otherworldly being and make a pact with this being as your Patron.,Speak with your Patron on 5 separate occasions.,Earn the respect of your Patron.,spells,47,stunt,67,,power,408,spells,54,power,409,,power,410,spells,60,power,411,,power,412,,,,,,,,,,
54,1,1,Wizard / Witch,Wield your staff or wand to channel more powerful arcana.  The most versatile of all the mages. Every spell is a tool in your arsenal.,,,Int,Wis,Hrt,MP,HP,Must cast spells with an arcane nucleus of either a wand or staff.,Know and be able to cast spells from at least five unique Arcane Disciplines.,Develop and master your own unique spell by combining your knowledge and understanding of 2 or more spells to create something new.,spell choice,novice,stunt,116,,action,65,spell choice,adept,power,413,,power,414,spell choice,master,power,415,,spell choice,specialization,,,,,,,,,,
55,1,1,Paladin: Dantalion,Your strength comes from Dantalion. You have sworn your life to them and must follow their tenets or lose your power.,,,Hrt,Str,Cha,HP,Spd,Commit your life to Dantalion and follow their tenets unwaveringly.,Fervently pray to your Constellation for at least 1 hour a day for 30 days. You must continue this prayer ritual going forward or you will lose access to these abilities.,Physically meet with and earn the trust of the Constellation you have sworn yourself to.,power,529,power,306,,power,530,power,308,action,71,,power,310,power,531,power,312,,stunt,100,,,,,,,,,,
56,1,1,Paladin: Baal,Your strength comes from Baal. You have sworn your life to them and must follow their tenets or lose your power.,,,Hrt,Acc,Per,Spd,MP,Commit your life to Baal and follow their tenets unwaveringly.,Fervently pray to your Constellation for at least 1 hour a day for 30 days. You must continue this prayer ritual going forward or you will lose access to these abilities.,Physically meet with and earn the trust of the Constellation you have sworn yourself to.,power,532,power,306,,power,533,power,308,action,72,,power,310,power,534,power,312,,stunt,100,,,,,,,,,,
57,1,1,Paladin: Seir,Your strength comes from Seir. You have sworn your life to them and must follow their tenets or lose your power.,,,Hrt,Cha,Int,HP,MP,Commit your life to Seir and follow their tenets unwaveringly.,Fervently pray to your Constellation for at least 1 hour a day for 30 days. You must continue this prayer ritual going forward or you will lose access to these abilities.,Physically meet with and earn the trust of the Constellation you have sworn yourself to.,power,535,power,306,,power,536,power,308,action,73,,power,310,power,537,power,312,,stunt,100,,,,,,,,,,
58,1,1,Paladin: Blythe,Your strength comes from Blythe. You have sworn your life to them and must follow their tenets or lose your power.,,,Hrt,Int,Dex,Spd,HP,Commit your life to Blythe and follow their tenets unwaveringly.,Fervently pray to your Constellation for at least 1 hour a day for 30 days. You must continue this prayer ritual going forward or you will lose access to these abilities.,Physically meet with and earn the trust of the Constellation you have sworn yourself to.,power,538,power,306,,power,539,power,308,action,74,,power,310,power,540,power,312,,stunt,100,,,,,,,,,,
59,1,1,Paladin: Morax,Your strength comes from Morax. You have sworn your life to them and must follow their tenets or lose your power.,,,Hrt,End,Str,HP,Spd,Commit your life to Morax and follow their tenets unwaveringly.,Fervently pray to your Constellation for at least 1 hour a day for 30 days. You must continue this prayer ritual going forward or you will lose access to these abilities.,Physically meet with and earn the trust of the Constellation you have sworn yourself to.,power,541,power,306,,power,542,power,308,action,75,,power,310,power,543,power,312,,stunt,100,,,,,,,,,,
60,1,1,Paladin: Asmodeus,Your strength comes from Asmodeus. You have sworn your life to them and must follow their tenets or lose your power.,,,Hrt,Wis,End,HP,MP,Commit your life to Asmodeus and follow their tenets unwaveringly.,Fervently pray to your Constellation for at least 1 hour a day for 30 days. You must continue this prayer ritual going forward or you will lose access to these abilities.,Physically meet with and earn the trust of the Constellation you have sworn yourself to.,power,544,power,306,,power,545,power,308,action,76,,power,310,power,546,power,312,,stunt,100,,,,,,,,,,
61,1,1,Paladin: Aster,Your strength comes from Aster. You have sworn your life to them and must follow their tenets or lose your power.,,,Hrt,Dex,Acc,Spd,HP,Commit your life to Aster and follow their tenets unwaveringly.,Fervently pray to your Constellation for at least 1 hour a day for 30 days. You must continue this prayer ritual going forward or you will lose access to these abilities.,Physically meet with and earn the trust of the Constellation you have sworn yourself to.,power,547,power,306,,power,548,power,308,action,77,,power,310,power,549,power,312,,stunt,100,,,,,,,,,,
62,1,1,Paladin: Zagan,Your strength comes from Zagan. You have sworn your life to them and must follow their tenets or lose your power.,,,Hrt,Per,Wis,Spd,HP,Commit your life to Zagan and follow their tenets unwaveringly.,Fervently pray to your Constellation for at least 1 hour a day for 30 days. You must continue this prayer ritual going forward or you will lose access to these abilities.,Physically meet with and earn the trust of the Constellation you have sworn yourself to.,power,550,power,306,,power,551,power,308,action,78,,power,310,power,552,power,312,,stunt,100,,,,,,,,,,
